County,n,Openness,sdOpenness,Neuroticism,sdNeuroticism,Extraversion,sdExtraversion,Agreeableness,sdAgreeableness,Conscientiousness,sdConscientiousness
Harju County,5000,49.531124976287146,9.747210515602061,49.623712887773145,9.980774153909314,50.054609453607995,9.993212153027017,50.22650792949907,9.741136576981544,50.414953638183334,9.74174746748785
Hiiu County,484,47.51267257685604,9.93572450921513,48.22415732626008,8.87720317776493,49.060339732541145,9.611780062887654,51.5574282926828,9.55533896410167,49.9753201062804,9.420512454438821
Ida-Viru County,1261,47.443295684664,9.705558676969117,48.882949212422595,8.70779625484425,49.718904428585226,9.605677841903955,49.9222612841918,9.710332297634588,50.30528470593785,9.112865242312559
Järva County,1064,47.6982910464371,9.932674167103887,48.202310557317844,9.828268186212426,48.86893609062197,9.624517759469484,51.08338455395091,10.087883602410585,50.23227330248089,9.068356305140535
Jõgeva County,1196,47.077537475340705,9.912387216753832,48.674230984011295,9.307607282491318,49.24213585939271,9.793248590023888,51.512393411966684,9.846021638425075,51.1009288141852,9.34313242807055
Lääne County,898,48.38845768378282,10.153418954023667,47.92358880068518,8.999123827424349,49.701327362092,9.632483938277218,50.97225402845698,9.636440109961299,50.38229477595565,9.558892606676181
Lääne-Viru County,2311,47.20444402244595,10.15176526859806,48.70914081978393,9.631443214435441,49.294063824820775,9.606387972000968,50.76951001390792,9.814839363507595,50.445690734116845,9.221113085473299
Pärnu County,3851,47.66165495260336,9.673683187346274,48.62415514140049,9.461801752556147,49.637349135962225,9.519930286936685,50.75493564830761,9.737853031685537,50.34655652418394,9.221343238339712
Põlva County,837,48.19255645986966,10.06611609189774,49.51525617743189,9.464535026747313,49.16700647903654,9.470097388108718,51.11790614669086,9.786671205811055,50.34872407953562,9.474921046950627
Rapla County,1317,47.66939214179159,10.010725159420298,48.989480764853425,9.701649683595413,49.18958338909473,9.68861717826239,50.63259755019387,10.122364521099582,50.48859856838985,9.539171987037491
Saare County,1178,47.882356966714475,9.78421447036382,48.197274581719455,9.153074859667488,49.0705491246332,9.498188087325786,51.0426485408222,9.954678576417432,50.618391935903084,9.454292352908713
Tartu County,5000,49.86159650316577,9.924640107455497,50.48527305784466,10.307357572408431,49.58682698840448,10.191573741759607,51.05478757798322,9.93926059018281,49.71918417020198,10.16141477494637
Valga County,831,48.079985352194726,10.221246373810931,48.956720019766465,10.037675602764883,49.108810683194754,9.789086914683866,51.26722517070022,9.178610222510637,50.43051128008992,9.774338998278619
Viljandi County,1824,48.086364336258804,10.036821659561793,48.43097892040417,9.238262954319728,49.095756375180905,9.516790928547033,51.1921720009718,9.690611614745146,50.494640519268245,9.060390493712204
Võru County,1224,47.45316910630676,9.667334616490669,48.73823300413157,9.238486253755665,49.52406983613704,9.293015659216474,51.39839709381778,9.495354577893217,50.185314279088445,9.559834293597842
